"filename", "language", "Python", "Markdown", "JavaScript", "pip requirements", "vue", "JSON", "Django HTML", "comment", "blank", "total"
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/admin.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/api_views.py", "Python", 278, 0, 0, 0, 0, 0, 0, 16, 54, 348
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/migrations/0001_initial.py", "Python", 1499, 0, 0, 0, 0, 0, 0, 1, 7, 1507
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/migrations/0002_alter_institution_type.py", "Python", 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/migrations/0003_alter_leavereason_reason_code.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/models.py", "Python", 554, 0, 0, 0, 0, 0, 0, 7, 131, 692
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/serializers.py", "Python", 203, 0, 0, 0, 0, 0, 0, 8, 48, 259
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DBMS/views.py", "Python", 131, 0, 0, 0, 0, 0, 0, 17, 15, 163
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DjangoProjectDBMS/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DjangoProjectDBMS/asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DjangoProjectDBMS/settings.py", "Python", 101, 0, 0, 0, 0, 0, 0, 29, 34, 164
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DjangoProjectDBMS/urls.py", "Python", 84, 0, 0, 0, 0, 0, 0, 24, 11, 119
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/DjangoProjectDBMS/wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/README.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 35, 102
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 5, 23
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/DjangoProject/requirements.txt", "pip requirements", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/.eslintrc.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/README.md", "Markdown", 0, 119, 0, 0, 0, 0, 0, 0, 50, 169
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 13137, 0, 0, 1, 13138
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/public/index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/App.vue", "vue", 0, 0, 0, 0, 49, 0, 0, 0, 7, 56
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/components/FooterBar.vue", "vue", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/components/NavBar.vue", "vue", 0, 0, 0, 0, 77, 0, 0, 3, 10, 90
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/i18n.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/lang/en.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 3, 4, 87
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/lang/zh.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 3, 4, 87
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/main.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 3, 16
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/router/index.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 4, 75
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/store/index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 3, 1, 9
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/AllTables.vue", "vue", 0, 0, 0, 0, 69, 0, 0, 0, 8, 77
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/ApiDebug.vue", "vue", 0, 0, 0, 0, 135, 0, 0, 0, 12, 147
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/CourseDetail.vue", "vue", 0, 0, 0, 0, 109, 0, 0, 0, 12, 121
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Courses.vue", "vue", 0, 0, 0, 0, 136, 0, 0, 1, 6, 143
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Departments.vue", "vue", 0, 0, 0, 0, 114, 0, 0, 2, 6, 122
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Home.vue", "vue", 0, 0, 0, 0, 206, 0, 0, 4, 8, 218
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/PersonDetail.vue", "vue", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Programs.vue", "vue", 0, 0, 0, 0, 114, 0, 0, 1, 6, 121
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Staffs.vue", "vue", 0, 0, 0, 0, 143, 0, 0, 0, 6, 149
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/StudentDetail.vue", "vue", 0, 0, 0, 0, 72, 0, 0, 2, 8, 82
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/Students.vue", "vue", 0, 0, 0, 0, 160, 0, 0, 1, 6, 167
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/src/views/TableDataView.vue", "vue", 0, 0, 0, 0, 213, 0, 0, 0, 25, 238
"/Users/nemoyu/Desktop/database-数据库系统/小组作业/DBSM_Group_Product/frontend/vue.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"Total", "-", 2927, 186, 304, 38, 1629, 13165, 18, 151, 568, 18986